,rank,time_range,track_id,track_name,track_popularity,track_release_date,artist_genre,artist_name,key_note,ft_danceability,ft_energy,ft_key,ft_loudness,ft_mode,ft_speechiness,ft_acousticness,ft_instrumentalness,ft_liveness,ft_valence,ft_tempo,number_of_repeats
122,39,short_term,5dx08KrsyuIdg6LtjuZSfC,"Rondo brillant in E-Flat Major, Op. 29",9,1993-11-16,classical,Felix Mendelssohn,D#,0.444,0.17600000000000002,3,-20.077,1,0.0393,0.9890000000000001,0.86,0.0802,0.17,109.329,2
123,39,short_term,5dx08KrsyuIdg6LtjuZSfC,"Rondo brillant in E-Flat Major, Op. 29",9,1993-11-16,early romantic era,Felix Mendelssohn,D#,0.444,0.17600000000000002,3,-20.077,1,0.0393,0.9890000000000001,0.86,0.0802,0.17,109.329,2
124,40,short_term,2QpGZOhTCHHiKmpSO9FW4h,Follow God,88,2019-10-25,chicago rap,Kanye West,C#,0.529,0.9,1,-3.503,1,0.418,0.000248,1.21e-05,0.0426,0.434,180.291,2
125,40,short_term,2QpGZOhTCHHiKmpSO9FW4h,Follow God,88,2019-10-25,rap,Kanye West,C#,0.529,0.9,1,-3.503,1,0.418,0.000248,1.21e-05,0.0426,0.434,180.291,2
126,41,short_term,0q3xk0VI0w7omVXYA09sVw,Eat,57,2015-05-19,k-hop,Zion.T,E,0.662,0.293,4,-11.311,1,0.122,0.49,4.79e-06,0.122,0.304,91.16,5
127,41,short_term,0q3xk0VI0w7omVXYA09sVw,Eat,57,2015-05-19,k-indie,Zion.T,E,0.662,0.293,4,-11.311,1,0.122,0.49,4.79e-06,0.122,0.304,91.16,5
128,41,short_term,0q3xk0VI0w7omVXYA09sVw,Eat,57,2015-05-19,k-pop,Zion.T,E,0.662,0.293,4,-11.311,1,0.122,0.49,4.79e-06,0.122,0.304,91.16,5
129,41,short_term,0q3xk0VI0w7omVXYA09sVw,Eat,57,2015-05-19,korean pop,Zion.T,E,0.662,0.293,4,-11.311,1,0.122,0.49,4.79e-06,0.122,0.304,91.16,5
130,41,short_term,0q3xk0VI0w7omVXYA09sVw,Eat,57,2015-05-19,korean r&b,Zion.T,E,0.662,0.293,4,-11.311,1,0.122,0.49,4.79e-06,0.122,0.304,91.16,5
131,42,short_term,5u8nn1mjHzMtaCm0Lfo0Qk,Sarasate : Caprice basque Op.24,12,1993-11-10,late romantic era,Pablo de Sarasate,A,0.49,0.10300000000000001,9,-20.007,0,0.0627,0.909,0.0238,0.0987,0.26,84.01899999999999,2
132,42,short_term,5u8nn1mjHzMtaCm0Lfo0Qk,Sarasate : Caprice basque Op.24,12,1993-11-10,violin,Pablo de Sarasate,A,0.49,0.10300000000000001,9,-20.007,0,0.0627,0.909,0.0238,0.0987,0.26,84.01899999999999,2
